"#template"	"instance"	"endpoint"	"error"	"prevelance"
8	"a__spouse_person"	"de.dbpedia.org"	0	0
8	"b__birth_place_not_place"	"de.dbpedia.org"	102626	505264
9	"a__person_wo_depiction"	"de.dbpedia.org"	28528	44988
9	"b__person_wo_birthDate"	"de.dbpedia.org"	1254	44988
9	"c__place_wo_coordinates"	"de.dbpedia.org"	144030	339302
10	"a__georss_point_template"	"de.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"de.dbpedia.org"	0	0
11	"a__copy_paste"	"de.dbpedia.org"	0	0
11	"b__inconsist_citations"	"de.dbpedia.org"	0	0
11	"c__missing_files"	"de.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"de.dbpedia.org"	25967	77888
12	"b__yago_wrong_capital_letters"	"de.dbpedia.org"	0	2772410
12	"c__wrong_isbn"	"de.dbpedia.org"	0	0
13	"a__shared_foaf_homepage"	"de.dbpedia.org"	0	135547
1	"a__birth_death"	"el.dbpedia.org"	1	705
1	"b__release_dates"	"el.dbpedia.org"	0	7
1	"c__buildingStart_demolition"	"el.dbpedia.org"	0	0
3	"a__height_person"	"el.dbpedia.org"	0	324
3	"b__latitude_range"	"el.dbpedia.org"	0	9217
3	"c__longitude_range"	"el.dbpedia.org"	0	9222
4	"a__functional_release_date"	"el.dbpedia.org"	0	58
4	"b__mt_20_labels"	"el.dbpedia.org"	0	150944
5	"a__coord_no_place"	"el.dbpedia.org"	4998	9157
5	"b__capital_but_not_place"	"el.dbpedia.org"	3	24
5	"c__foaf_but_not_dbo_person"	"el.dbpedia.org"	0	7820
6	"a__death_date_but_no_birth_date"	"el.dbpedia.org"	253	958
6	"b__active_years_start_but_no_active_years_end"	"el.dbpedia.org"	162	1022
6	"c__dateOfBirth_but_no_birthDate"	"el.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"el.dbpedia.org"	2	17285
7	"b__african_capital_but_no_city"	"el.dbpedia.org"	0	0
8	"a__spouse_person"	"el.dbpedia.org"	252	292
8	"b__birth_place_not_place"	"el.dbpedia.org"	2316	6752
9	"a__person_wo_depiction"	"el.dbpedia.org"	4031	7820
9	"b__person_wo_birthDate"	"el.dbpedia.org"	5174	7820
9	"c__place_wo_coordinates"	"el.dbpedia.org"	1868	6027
10	"a__georss_point_template"	"el.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"el.dbpedia.org"	0	0
11	"a__copy_paste"	"el.dbpedia.org"	0	0
11	"b__inconsist_citations"	"el.dbpedia.org"	0	0
11	"c__missing_files"	"el.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"el.dbpedia.org"	334	824
12	"b__yago_wrong_capital_letters"	"el.dbpedia.org"	0	374068
12	"c__wrong_isbn"	"el.dbpedia.org"	19	70
13	"a__shared_foaf_homepage"	"el.dbpedia.org"	9360	5731
1	"a__birth_death"	"es.dbpedia.org"	0	13
1	"b__release_dates"	"es.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"es.dbpedia.org"	0	0
3	"a__height_person"	"es.dbpedia.org"	75	14664
3	"b__latitude_range"	"es.dbpedia.org"	0	140012
3	"c__longitude_range"	"es.dbpedia.org"	0	172839
4	"a__functional_release_date"	"es.dbpedia.org"	0	0
4	"b__mt_20_labels"	"es.dbpedia.org"	0	240844
5	"a__coord_no_place"	"es.dbpedia.org"	31131	134146
5	"b__capital_but_not_place"	"es.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"es.dbpedia.org"	0	113239
6	"a__death_date_but_no_birth_date"	"es.dbpedia.org"	15	28
6	"b__active_years_start_but_no_active_years_end"	"es.dbpedia.org"	2	5
6	"c__dateOfBirth_but_no_birthDate"	"es.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"es.dbpedia.org"	0	346247
7	"b__african_capital_but_no_city"	"es.dbpedia.org"	0	0
8	"a__spouse_person"	"es.dbpedia.org"	2155	3932
8	"b__birth_place_not_place"	"es.dbpedia.org"	40867	80869
9	"a__person_wo_depiction"	"es.dbpedia.org"	113239	113239
9	"b__person_wo_birthDate"	"es.dbpedia.org"	113176	113239
9	"c__place_wo_coordinates"	"es.dbpedia.org"	92042	195057
10	"a__georss_point_template"	"es.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"es.dbpedia.org"	0	0
11	"a__copy_paste"	"es.dbpedia.org"	0	0
11	"b__inconsist_citations"	"es.dbpedia.org"	0	0
11	"c__missing_files"	"es.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"es.dbpedia.org"	65013	137093
12	"b__yago_wrong_capital_letters"	"es.dbpedia.org"	0	3107577
12	"c__wrong_isbn"	"es.dbpedia.org"	215	1283
13	"a__shared_foaf_homepage"	"es.dbpedia.org"	0	115600
1	"a__birth_death"	"fr.dbpedia.org"	10	19084
1	"b__release_dates"	"fr.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"fr.dbpedia.org"	1	16
3	"a__height_person"	"fr.dbpedia.org"	7301	14386
3	"b__latitude_range"	"fr.dbpedia.org"	0	145853
3	"c__longitude_range"	"fr.dbpedia.org"	0	145858
4	"a__functional_release_date"	"fr.dbpedia.org"	0	0
4	"b__mt_20_labels"	"fr.dbpedia.org"	0	2848398
5	"a__coord_no_place"	"fr.dbpedia.org"	44297	144781
5	"b__capital_but_not_place"	"fr.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"fr.dbpedia.org"	0	143604
6	"a__death_date_but_no_birth_date"	"fr.dbpedia.org"	2409	21493
6	"b__active_years_start_but_no_active_years_end"	"fr.dbpedia.org"	444	7683
6	"c__dateOfBirth_but_no_birthDate"	"fr.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"fr.dbpedia.org"	0	431446
7	"b__african_capital_but_no_city"	"fr.dbpedia.org"	0	0
8	"a__spouse_person"	"fr.dbpedia.org"	1474	2272
8	"b__birth_place_not_place"	"fr.dbpedia.org"	39706	68165
9	"a__person_wo_depiction"	"fr.dbpedia.org"	80203	143604
9	"b__person_wo_birthDate"	"fr.dbpedia.org"	79325	143604
9	"c__place_wo_coordinates"	"fr.dbpedia.org"	217851	318335
10	"a__georss_point_template"	"fr.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"fr.dbpedia.org"	0	0
11	"a__copy_paste"	"fr.dbpedia.org"	0	0
11	"b__inconsist_citations"	"fr.dbpedia.org"	0	0
11	"c__missing_files"	"fr.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"fr.dbpedia.org"	3589	57752
12	"b__yago_wrong_capital_letters"	"fr.dbpedia.org"	0	3846444
12	"c__wrong_isbn"	"fr.dbpedia.org"	242	3205
13	"a__shared_foaf_homepage"	"fr.dbpedia.org"	0	115883
1	"a__birth_death"	"it.dbpedia.org"	0	0
1	"b__release_dates"	"it.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"it.dbpedia.org"	0	0
3	"a__height_person"	"it.dbpedia.org"	0	0
3	"b__latitude_range"	"it.dbpedia.org"	0	0
3	"c__longitude_range"	"it.dbpedia.org"	0	0
4	"a__functional_release_date"	"it.dbpedia.org"	0	0
4	"b__mt_20_labels"	"it.dbpedia.org"	0	0
5	"a__coord_no_place"	"it.dbpedia.org"	0	0
5	"b__capital_but_not_place"	"it.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"it.dbpedia.org"	0	0
6	"a__death_date_but_no_birth_date"	"it.dbpedia.org"	0	0
6	"b__active_years_start_but_no_active_years_end"	"it.dbpedia.org"	0	0
6	"c__dateOfBirth_but_no_birthDate"	"it.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"it.dbpedia.org"	0	0
7	"b__african_capital_but_no_city"	"it.dbpedia.org"	0	0
8	"a__spouse_person"	"it.dbpedia.org"	0	0
8	"b__birth_place_not_place"	"it.dbpedia.org"	0	0
9	"a__person_wo_depiction"	"it.dbpedia.org"	0	0
9	"b__person_wo_birthDate"	"it.dbpedia.org"	0	0
9	"c__place_wo_coordinates"	"it.dbpedia.org"	0	0
10	"a__georss_point_template"	"it.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"it.dbpedia.org"	0	0
11	"a__copy_paste"	"it.dbpedia.org"	0	0
11	"b__inconsist_citations"	"it.dbpedia.org"	0	0
11	"c__missing_files"	"it.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"it.dbpedia.org"	0	0
12	"b__yago_wrong_capital_letters"	"it.dbpedia.org"	0	0
12	"c__wrong_isbn"	"it.dbpedia.org"	0	0
13	"a__shared_foaf_homepage"	"it.dbpedia.org"	0	0
1	"a__birth_death"	"ja.dbpedia.org"	0	369
1	"b__release_dates"	"ja.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"ja.dbpedia.org"	0	0
3	"a__height_person"	"ja.dbpedia.org"	5	10323
3	"b__latitude_range"	"ja.dbpedia.org"	0	11085
3	"c__longitude_range"	"ja.dbpedia.org"	0	11085
4	"a__functional_release_date"	"ja.dbpedia.org"	0	39
4	"b__mt_20_labels"	"ja.dbpedia.org"	0	1428296
5	"a__coord_no_place"	"ja.dbpedia.org"	10836	11084
5	"b__capital_but_not_place"	"ja.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"ja.dbpedia.org"	0	59702
6	"a__death_date_but_no_birth_date"	"ja.dbpedia.org"	38	407
6	"b__active_years_start_but_no_active_years_end"	"ja.dbpedia.org"	0	0
6	"c__dateOfBirth_but_no_birthDate"	"ja.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"ja.dbpedia.org"	47	95235
7	"b__african_capital_but_no_city"	"ja.dbpedia.org"	0	0
8	"a__spouse_person"	"ja.dbpedia.org"	306	424
8	"b__birth_place_not_place"	"ja.dbpedia.org"	38961	38961
9	"a__person_wo_depiction"	"ja.dbpedia.org"	59701	59702
9	"b__person_wo_birthDate"	"ja.dbpedia.org"	59147	59702
9	"c__place_wo_coordinates"	"ja.dbpedia.org"	11857	12105
10	"a__georss_point_template"	"ja.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"ja.dbpedia.org"	0	0
11	"a__copy_paste"	"ja.dbpedia.org"	0	0
11	"b__inconsist_citations"	"ja.dbpedia.org"	0	0
11	"c__missing_files"	"ja.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"ja.dbpedia.org"	47	47
12	"b__yago_wrong_capital_letters"	"ja.dbpedia.org"	0	1120326
12	"c__wrong_isbn"	"ja.dbpedia.org"	0	0
13	"a__shared_foaf_homepage"	"ja.dbpedia.org"	0	77974
1	"a__birth_death"	"ko.dbpedia.org"	0	0
1	"a__birth_death"	"live.dbpedia.org"	360	409818
1	"b__release_dates"	"live.dbpedia.org"	10	204
1	"c__buildingStart_demolition"	"live.dbpedia.org"	0	40
3	"a__height_person"	"live.dbpedia.org"	5007	56390
3	"b__latitude_range"	"live.dbpedia.org"	0	841059
3	"c__longitude_range"	"live.dbpedia.org"	0	838727
4	"a__functional_release_date"	"live.dbpedia.org"	0	1545
4	"b__mt_20_labels"	"live.dbpedia.org"	0	10879690
5	"a__coord_no_place"	"live.dbpedia.org"	303447	775246
5	"b__capital_but_not_place"	"live.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"live.dbpedia.org"	507535	1068066
6	"a__death_date_but_no_birth_date"	"live.dbpedia.org"	40291	328293
6	"b__active_years_start_but_no_active_years_end"	"live.dbpedia.org"	12394	84931
6	"c__dateOfBirth_but_no_birthDate"	"live.dbpedia.org"	247503	1045756
7	"a__foaf_name_but_not_thing"	"live.dbpedia.org"	512027	2200417
7	"b__african_capital_but_no_city"	"live.dbpedia.org"	44	62
8	"a__spouse_person"	"live.dbpedia.org"	11138	21926
8	"b__birth_place_not_place"	"live.dbpedia.org"	245345	796982
9	"a__person_wo_depiction"	"live.dbpedia.org"	414823	571293
9	"b__person_wo_birthDate"	"live.dbpedia.org"	188978	571293
9	"c__place_wo_coordinates"	"live.dbpedia.org"	101272	597258
10	"a__georss_point_template"	"live.dbpedia.org"	517	5777
10	"b__birth_category_but_no_birth_date"	"live.dbpedia.org"	1194	3810
11	"a__copy_paste"	"live.dbpedia.org"	1809	0
11	"b__inconsist_citations"	"live.dbpedia.org"	0	0
11	"c__missing_files"	"live.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"live.dbpedia.org"	66860	165549
12	"b__yago_wrong_capital_letters"	"live.dbpedia.org"	0	14617796
12	"c__wrong_isbn"	"live.dbpedia.org"	6957	20404
13	"a__shared_foaf_homepage"	"live.dbpedia.org"	0	544794
1	"a__birth_death"	"live.nl.dbpedia.org"	2	10530
1	"b__release_dates"	"live.nl.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"live.nl.dbpedia.org"	0	0
3	"a__height_person"	"live.nl.dbpedia.org"	10	6056
3	"b__latitude_range"	"live.nl.dbpedia.org"	0	53340
3	"c__longitude_range"	"live.nl.dbpedia.org"	0	53340
4	"a__functional_release_date"	"live.nl.dbpedia.org"	0	1170
4	"b__mt_20_labels"	"live.nl.dbpedia.org"	0	2178305
5	"a__coord_no_place"	"live.nl.dbpedia.org"	325	53326
5	"b__capital_but_not_place"	"live.nl.dbpedia.org"	0	0
5	"c__foaf_but_not_dbo_person"	"live.nl.dbpedia.org"	0	69056
6	"a__death_date_but_no_birth_date"	"live.nl.dbpedia.org"	1157	11617
6	"b__active_years_start_but_no_active_years_end"	"live.nl.dbpedia.org"	23	256
6	"c__dateOfBirth_but_no_birthDate"	"live.nl.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"live.nl.dbpedia.org"	218	1070184
7	"b__african_capital_but_no_city"	"live.nl.dbpedia.org"	0	0
8	"a__spouse_person"	"live.nl.dbpedia.org"	384	630
8	"b__birth_place_not_place"	"live.nl.dbpedia.org"	15703	46190
9	"a__person_wo_depiction"	"live.nl.dbpedia.org"	69056	69056
9	"b__person_wo_birthDate"	"live.nl.dbpedia.org"	23042	69056
9	"c__place_wo_coordinates"	"live.nl.dbpedia.org"	216910	269911
10	"a__georss_point_template"	"live.nl.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"live.nl.dbpedia.org"	0	0
11	"a__copy_paste"	"live.nl.dbpedia.org"	0	0
11	"b__inconsist_citations"	"live.nl.dbpedia.org"	0	0
11	"c__missing_files"	"live.nl.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"live.nl.dbpedia.org"	39426	94840
12	"b__yago_wrong_capital_letters"	"live.nl.dbpedia.org"	0	5637317
12	"c__wrong_isbn"	"live.nl.dbpedia.org"	124	1744
13	"a__shared_foaf_homepage"	"live.nl.dbpedia.org"	0	65498
1	"a__birth_death"	"nl.dbpedia.org"	1	9719
1	"b__release_dates"	"nl.dbpedia.org"	0	0
1	"c__buildingStart_demolition"	"nl.dbpedia.org"	0	0
3	"a__height_person"	"nl.dbpedia.org"	12	4935
3	"b__latitude_range"	"nl.dbpedia.org"	0	115424
3	"c__longitude_range"	"nl.dbpedia.org"	0	115424
4	"a__functional_release_date"	"nl.dbpedia.org"	0	980
4	"b__mt_20_labels"	"nl.dbpedia.org"	0	1709340
5	"a__coord_no_place"	"nl.dbpedia.org"	352	115407
5	"b__capital_but_not_place"	"nl.dbpedia.org"	4	25
5	"c__foaf_but_not_dbo_person"	"nl.dbpedia.org"	0	70150
6	"a__death_date_but_no_birth_date"	"nl.dbpedia.org"	417	10136
6	"b__active_years_start_but_no_active_years_end"	"nl.dbpedia.org"	20	221
6	"c__dateOfBirth_but_no_birthDate"	"nl.dbpedia.org"	0	0
7	"a__foaf_name_but_not_thing"	"nl.dbpedia.org"	0	523602
7	"b__african_capital_but_no_city"	"nl.dbpedia.org"	0	0
8	"a__spouse_person"	"nl.dbpedia.org"	240	250
8	"b__birth_place_not_place"	"nl.dbpedia.org"	11328	42716
9	"a__person_wo_depiction"	"nl.dbpedia.org"	45081	70150
9	"b__person_wo_birthDate"	"nl.dbpedia.org"	29943	70150
9	"c__place_wo_coordinates"	"nl.dbpedia.org"	131288	246343
10	"a__georss_point_template"	"nl.dbpedia.org"	0	0
10	"b__birth_category_but_no_birth_date"	"nl.dbpedia.org"	0	0
11	"a__copy_paste"	"nl.dbpedia.org"	0	0
11	"b__inconsist_citations"	"nl.dbpedia.org"	0	0
11	"c__missing_files"	"nl.dbpedia.org"	0	0
12	"a__wrong_post_code_format"	"nl.dbpedia.org"	42670	99135
12	"b__yago_wrong_capital_letters"	"nl.dbpedia.org"	0	3862037
12	"c__wrong_isbn"	"nl.dbpedia.org"	114	1644
13	"a__shared_foaf_homepage"	"nl.dbpedia.org"	0	62059
1	"a__birth_death"	"pt.dbpedia.org"	0	0
1	"b__release_dates"	"pt.dbpedia.org"	0	0
